Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
bf5c8080-2932-33cd-a909-544a6cf35968,COUNTY OF RIVERSIDE,26520 CACTUS AVE,MORENO VALLEY,CA,925553927,33.9119259,-117.19637878783084,9514864458,0.0,4
314d78d4-d9f7-38a8-a25d-e726fe60fa4b,COMMUNITY HEALTH CENTERS OF THE CENTRAL COAST INC,1205 E GRAND AVE STE H,ARROYO GRANDE,CA,934202419,35.12046024390244,-120.60066690243902,8059942300,0.0,60
f6bb2585-3f11-3b6a-8a14-125bf51e5bce,EAST MEETS WEST INTERNAL & PREVENTATIVE MEDICAL CENTER  APC,1240 BROADWAY,EL CAJON,CA,920214947,32.80833,-116.938383,6195889355,0.0,109
165b6ac2-0973-39e8-834c-2294793473ea,HEALTHCARE IN ACTION MEDICAL GROUP,3800 KILROY AIRPORT WAY,LONG BEACH,CA,908066818,33.8072155,-118.1445534,6174079515,0.0,32
7ad569f9-d40f-367e-a0dc-9cd65ec0b010,LEMI MEDICAL CENTER PROFESSIONAL CORPORATION,1838 EL CAMINO REAL,BURLINGAME,CA,940103105,37.5857143,-122.3689209,6506970361,0.0,40
32dd5695-3c26-3f1e-80e6-700668319d63,SAN DIEGO CA MULTI SPECIALTY ASC LLC,7485 MISSION VALLEY RD,SAN DIEGO,CA,921084422,32.779344,-117.160108,6192913737,0.0,2
30c2256c-5b5f-367a-896d-43a20284096b,TIBURCIO VASQUEZ HEALTH CENTER INC,28300 HUNTWOOD AVE,HAYWARD,CA,945445425,37.6352518,-122.066243,5104715907,0.0,146
02fdb652-a053-3fc5-9760-2a02d4bd621e,SOUTH BAY MEDICAL CLINIC OF SAN JOSE,200 JOSE FIGUERES AVE STE 260,SAN JOSE,CA,951222541,37.3614292,-121.8499748,4082510835,0.0,29
c0c76cf5-cb44-33cf-9897-dc9cdd38991c,DEPT OF STATE HOSPITALS - NAPA,2100 NAPA VALLEJO HIGHWAY,NAPA,CA,945586234,38.2795246,-122.2998321,7072535000,0.0,4
6e2d7cdb-1abc-30ac-807a-c7fb14733a29,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,945454339,37.63320025,-122.08790356843016,5107826200,0.0,21
a5e9d63d-9eef-3426-aacd-8391a5ddaee4,AHMC SETON MEDICAL CENTER LLC,1900 SULLIVAN AVE,MOSS BEACH,CA,940389641,37.52011950000001,-122.5096690223618,6509924000,0.0,4
177ecf51-776a-369b-8904-03c7fa961d5d,CHULA VISTA FAMILY CLINIC,865 THIRD AVENUE  SUITE 133,CHULA VISTA,CA,91910,32.621851201392644,-117.07218709213826,6194986200,0.0,78
e9d0216e-1b46-3d32-9c82-4109c47aaad7,UNICARE COMMUNITY HEALTH CENTER INC,16127 FOOTHILL BLVD,FONTANA,CA,923353374,34.10648466265709,-117.45296652495978,9093470700,0.0,99
51fd9255-9f49-3abe-b840-4fcf34a5e0ee,COUNTY OF RIVERSIDE,3055 W RAMSEY ST,BANNING,CA,922203781,33.9255685,-116.875289,9518496794,0.0,57
71aaab47-33ca-37f8-9f0c-74ea6bde16cf,PERSONALIZED FAMILY MEDICINE INC,2308 HAGGIN OAKS BLVD,BAKERSFIELD,CA,933111563,35.33341585,-119.09860799307987,6612015409,0.0,37
80bbd347-824d-392f-a81b-a54a303431db,WEST SACRAMENTO PRIMARY CARE INC,2455 JEFFERSON BLVD STE 100,WEST SACRAMENTO,CA,956915329,38.55263185,-121.5360858128757,9166172377,0.0,74
7e97cfe1-7406-31dc-b34a-e6c1afedf34e,HDMC HOLDINGS LLC,6601 WHITE FEATHER RD,JOSHUA TREE,CA,922526607,34.131822,-116.27504867355569,7603663711,0.0,8
1c62b0d1-e44c-3aca-a617-5c5c99872844,FAMILY HEALTHCARE NETWORK,30924 E KINGS CANYON RD,SQUAW VALLEY,CA,936759601,36.74090651854559,-119.24554624512591,5597374700,0.0,33
a0c63140-c437-3c5e-93dd-cbdfaf7eb93d,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,2540 EAST ST,CONCORD,CA,945202267,37.9835342,-122.03326853469336,9256828200,0.0,2
836b770d-7ff4-385e-8939-33aadf4d9f1f,ALL CARE ONE COMMUNITY HEALTH CENTER,7300 SANTA FE AVE.,SHERMAN OAKS,CA,914235523,34.1508718,-118.4489865,3232778900,0.0,80
9afa5d3c-7ee6-3f21-9b1b-5591edfe1edb,INGHAM HEALTHCARE A PROFESSIONAL CORPORATION,1999 S BASCOM AVE STE 1020,CAMPBELL,CA,950082206,37.28777715,-121.93521282508343,6507222611,0.0,37
42186452-c1e6-326b-a098-2838d74aa29a,GOLDEN VALLEY HEALTH CENTER,250 NORTHGATE DR,MANTECA,CA,953363161,37.81897818945475,-121.21992904337117,2093817120,0.0,57
6d828d69-0eba-36d3-b68b-ac0e9836ad74,FAMILY HEALTHCARE NETWORK,22817 AVE 196,STRATHMORE,CA,93267,36.14547784594511,-119.06404408934196,5597414395,0.0,32
8b2ec3b3-4e89-37ec-8d84-906506468ede,COUNTY OF LOS ANGELES,7601 IMPERIAL HWY,DOWNEY,CA,902423456,33.9404441,-118.1292846,5624016677,0.0,1
